name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
dimer_001723,-16917.7531782728,-16925.8401739675,1.750156702256,-16916.0030212984,2.97059,-6.9747,0.5465,7.5212,-16700.0727362998,-16709.7307658466,1.693108002156,-16698.3796282976,3.28393,-10.2822,12.8059,23.0881,200.32
dimer_001725,-16917.0578135313,-16925.1466704857,1.73589820077,-16915.3219153305,2.01326,-6.6826,0.7007,7.3833,-16700.0815862634,-16709.7523714261,1.65733616783,-16698.4242500956,0.42775,-10.0287,12.6168,22.6455,200.32
dimer_001747,-16917.2863046638,-16925.3260298028,1.799702403034,-16915.4866025329,2.88954,-7.1709,0.5659,7.7368,-16698.62629338,-16708.1790036522,1.743375349262,-16696.8829180308,3.38583,-10.589,10.8644,21.4534,200.32
dimer_001749,-14961.5063791189,-14970.8669535052,1.776273659748,-14959.730105187,0.18706,-7.2228,0.7521,7.9749,-14761.0259887949,-14772.1733385366,1.742975069568,-14759.2830139975,0.40919,-10.5885,11.1006,21.6891,196.38
dimer_001751,-16917.5864197386,-16925.7237132572,1.670784313824,-16915.9156354248,3.48601,-6.7076,0.4536,7.1612,-16698.9741919454,-16708.583266823,1.688925337862,-16697.2852666075,3.86212,-9.7019,10.4528,20.1547,200.32
dimer_001752,-16917.0810496178,-16925.0822322578,1.789993647628,-16915.2910559702,2.58874,-6.6871,0.7259,7.413,-16698.9368091962,-16708.4499949098,1.725248475152,-16697.211560721,3.08799,-9.983,10.6965,20.6795,200.32
dimer_001753,-16916.80170827,-16924.8420464819,1.778811394912,-16915.0228968751,2.49116,-6.7262,0.764,7.4902,-16698.6782140918,-16708.1940395833,1.750483239056,-16696.9277308527,3.05024,-10.2886,10.5633,20.8519,200.32
dimer_001754,-17790.2534593228,-17797.7273342834,1.736676718924,-17788.5167826039,3.60992,-6.4884,0.6624,7.1508,-17562.6474015078,-17571.4228524253,1.727495864678,-17560.9199053711,4.96987,-9.5612,10.8255,20.3867,202.30
dimer_001784,-16917.6196396879,-16925.700234717,1.759976480174,-16915.8596632077,2.53323,-6.7424,0.4513,7.1937,-16698.9740509903,-16708.5690028792,1.711529303614,-16697.2625214146,2.77262,-10.0447,10.5862,20.6309,200.32
dimer_001786,-17791.2330161164,-17798.7464371324,1.710296627194,-17789.5227194892,1.95995,-6.5439,0.4256,6.9695,-17562.7917375763,-17571.5569461228,1.744295094582,-17561.0474422096,3.78499,-9.6798,9.9032,19.583,202.30
dimer_001788,-14961.5571368154,-14970.8946582479,1.785792479582,-14959.7713440637,0.22403,-7.064,0.749,7.813,-14761.1821446792,-14772.3126102914,1.751981770854,-14759.4301626362,0.21096,-10.3809,11.1081,21.489,196.38
dimer_001789,-16917.6026467128,-16925.6906269159,1.732012684964,-16915.8706340278,3.00675,-6.6294,0.5386,7.168,-16699.1170746529,-16708.7381040428,1.676551225826,-16697.440523155,3.44698,-9.8315,10.543,20.3745,200.32
dimer_001792,-16917.783072989,-16925.8419318239,1.753997319252,-16916.0290756697,3.1869,-6.6023,0.4392,7.0415,-16699.1618014869,-16708.7592121979,1.689562356736,-16697.4722391302,3.85119,-9.6792,10.5186,20.1978,200.32
dimer_001794,-17790.4295695988,-17797.8961173457,1.72666129104,-17788.7029083078,4.06276,-6.3618,0.6751,7.0369,-17562.7123499495,-17571.4644649146,1.731024366916,-17560.9813253105,4.92458,-9.4469,10.024,19.4709,202.30
dimer_001795,-16916.9701555437,-16925.0003673051,1.759476334642,-16915.210679209,1.8753,-6.6342,0.9131,7.5473,-16699.0352412655,-16708.5377195653,1.738483555884,-16697.2967577096,2.96868,-9.9387,10.7006,20.6393,200.32
dimer_001807,-14961.5373712708,-14970.8870104839,1.763324298716,-14959.7740472442,0.15051,-7.2641,0.7344,7.9985,-14761.1616392566,-14772.3042865963,1.724249816772,-14759.4373894398,0.34212,-10.6416,11.0737,21.7153,196.38
dimer_001809,-16917.6044481075,-16925.6710543001,1.733538700276,-16915.8709091351,3.39514,-6.8341,0.4283,7.2624,-16699.0017453927,-16708.55694578,1.69934512715,-16697.3024002655,2.91587,-9.6446,10.6964,20.341,200.32
dimer_001810,-16917.8101567675,-16925.9078079022,1.7228081568,-16916.0873486107,3.17375,-6.7975,0.3694,7.1669,-16699.080809748,-16708.6950594176,1.667297717142,-16697.4135120309,3.50618,-10.0883,10.5548,20.6431,200.32
dimer_001811,-17791.3085642146,-17798.8033576669,1.713343215538,-17789.5952209991,7.05362,-6.1268,0.2058,6.3326,-17563.1854636767,-17572.0472084744,1.664547733058,-17561.5209159437,7.32303,-9.2118,10.1628,19.3746,202.30
dimer_001814,-14961.446991871,-14970.7827246982,1.76836140097,-14959.6786307422,0.16643,-7.5413,0.6659,8.2072,-14761.017040326,-14772.1324278294,1.739672149836,-14759.2773679041,0.3618,-10.9323,11.1706,22.1029,196.38
dimer_001815,-16917.2562872243,-16925.2916027559,1.752794031144,-16915.5034934652,3.75492,-7.0569,0.7037,7.7606,-16699.058329322,-16708.6023572528,1.711362769846,-16697.3469665522,3.91606,-10.8793,9.6696,20.5489,200.32
dimer_001816,-16917.6637757623,-16925.7342105989,1.737671839822,-16915.9261039225,3.23231,-6.995,0.6602,7.6552,-16698.954572526,-16708.5141746294,1.688566147382,-16697.2660063786,3.65201,-10.4918,10.494,20.9858,200.32
dimer_001817,-17791.0531433201,-17798.4978386801,1.735048660862,-17789.3180946592,2.27104,-6.5883,0.3082,6.8965,-17562.9747399557,-17571.7689422489,1.68395980159,-17561.2907801541,5.20684,-9.1141,10.7186,19.8327,202.30
